YTID,start_seconds,end_seconds,positive_labels,youtube_url
HRQ9uwkTGTU,0.000,10.000,"/m/012xff,/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=HRQ9uwkTGTU
HVv0jG7J0to,490.000,500.000,"/m/0261r1,/m/0463cq4,/m/04rlf,/m/09x0r,/t/dd00001,/t/dd00002",https://www.youtube.com/watch?v=HVv0jG7J0to
KwarJwojN0Y,270.000,280.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=KwarJwojN0Y
LPcFZBFb7bo,80.000,90.000,"/m/0261r1,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=LPcFZBFb7bo
LYnNI12BRQo,30.000,40.000,"/m/0261r1,/m/07r660_,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=LYnNI12BRQo
NF7QlFS6RVs,50.000,60.000,/m/0261r1,https://www.youtube.com/watch?v=NF7QlFS6RVs
ONns3NeieFo,40.000,50.000,"/m/0261r1,/t/dd00125",https://www.youtube.com/watch?v=ONns3NeieFo
Pj_YzLKBYDQ,50.000,60.000,"/m/0261r1,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=Pj_YzLKBYDQ
QIA4MHE9XOc,0.000,10.000,"/m/0261r1,/m/04rlf,/m/09x0r,/m/0ytgt",https://www.youtube.com/watch?v=QIA4MHE9XOc
RD4NfdfsDPw,130.000,140.000,"/m/0261r1,/m/04rlf",https://www.youtube.com/watch?v=RD4NfdfsDPw
S1M_vwzA25k,30.000,40.000,/m/0261r1,https://www.youtube.com/watch?v=S1M_vwzA25k
S5-CkzJXxng,530.000,540.000,"/m/0261r1,/m/07rgt08,/m/0ytgt",https://www.youtube.com/watch?v=S5-CkzJXxng
TdJt7z2ibhk,30.000,40.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=TdJt7z2ibhk
TlL45IWd0gk,50.000,60.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=TlL45IWd0gk
TxWaRgpfg4c,30.000,40.000,/m/0261r1,https://www.youtube.com/watch?v=TxWaRgpfg4c
URppqKbIZjk,0.000,10.000,/m/0261r1,https://www.youtube.com/watch?v=URppqKbIZjk
VFDeywIJxdE,80.000,90.000,/m/0261r1,https://www.youtube.com/watch?v=VFDeywIJxdE
VHFjFr0hk2g,240.000,250.000,"/m/0261r1,/m/09x0r,/m/0ytgt,/t/dd00125",https://www.youtube.com/watch?v=VHFjFr0hk2g
Xxte4Ez0FcM,10.000,20.000,"/m/0261r1,/t/dd00125",https://www.youtube.com/watch?v=Xxte4Ez0FcM
YBCYwcqxRQU,80.000,90.000,"/m/0261r1,/t/dd00125",https://www.youtube.com/watch?v=YBCYwcqxRQU
YdjvBZdrGuo,10.000,20.000,"/m/0261r1,/m/07rgt08",https://www.youtube.com/watch?v=YdjvBZdrGuo
ZR48r_8OhUI,50.000,60.000,"/m/0261r1,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=ZR48r_8OhUI
Zo_wkyXVHPE,30.000,40.000,"/m/0261r1,/t/dd00125",https://www.youtube.com/watch?v=Zo_wkyXVHPE
b7etZ94Mhrw,10.000,20.000,/m/0261r1,https://www.youtube.com/watch?v=b7etZ94Mhrw
cJ4QLx8bwiQ,450.000,460.000,"/m/0261r1,/m/0ytgt",https://www.youtube.com/watch?v=cJ4QLx8bwiQ
ceOYh-U6zUc,40.000,50.000,"/m/0261r1,/m/09x0r,/m/0ytgt,/t/dd00125",https://www.youtube.com/watch?v=ceOYh-U6zUc
eVHnX7MrWNQ,350.000,360.000,"/m/0261r1,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=eVHnX7MrWNQ
fyE76QcAEgU,30.000,40.000,/m/0261r1,https://www.youtube.com/watch?v=fyE76QcAEgU
hhM7pEOpEAo,230.000,240.000,"/m/0261r1,/m/04rlf,/m/07r660_,/m/09x0r,/t/dd00002",https://www.youtube.com/watch?v=hhM7pEOpEAo
hxWBWPSw5vM,20.000,30.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=hxWBWPSw5vM
jJ-xaqcVmu0,270.000,280.000,"/m/0261r1,/m/0ytgt",https://www.youtube.com/watch?v=jJ-xaqcVmu0
kKf9OprN9nw,400.000,410.000,"/m/0261r1,/m/09x0r,/m/0ytgt",https://www.youtube.com/watch?v=kKf9OprN9nw
kf50dAfvfco,10.000,20.000,"/m/015lz1,/m/0261r1,/t/dd00125",https://www.youtube.com/watch?v=kf50dAfvfco
kkIRLR_77UQ,120.000,130.000,"/m/0261r1,/t/dd00125",https://www.youtube.com/watch?v=kkIRLR_77UQ
ps07pteP-7g,40.000,50.000,"/m/0261r1,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=ps07pteP-7g
rDeldp48b1M,80.000,90.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=rDeldp48b1M
rF-N3jUEwHw,0.000,10.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=rF-N3jUEwHw
tqwlTctyIEI,40.000,50.000,"/m/0261r1,/m/09x0r,/m/0ytgt",https://www.youtube.com/watch?v=tqwlTctyIEI
vkuvXhauqsc,330.000,340.000,"/m/0261r1,/m/04rlf,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=vkuvXhauqsc
